Director,Genre(s)
Don McKellar,"['Comedy', 'Drama']"
Girish Joshi,"['Drama', 'International']"
Josh Webber,"['Action', 'Drama', 'Suspense', 'Documentary']"
Sonia Anderson,['Documentary']
Giles Foster,"['Drama', 'Fantasy']"
Paul Weiland,"['Fantasy', 'Kids']"
Fran Strine,"['Documentary', 'Special Interest']"
Thomas Kail,['Comedy']
 Alex Rudzinski,['Comedy']
Daniel Gilboy,"['Action', 'Science Fiction', 'Suspense']"
Robert Allan Ackerman,['Drama']
Justin G. Dyck,"['Adventure', 'Kids']"
Liz Tuccillo,['Comedy']
Dominique Rocher,"['Horror', 'Suspense']"
Jep Barcelona,"['Documentary', 'Sports']"
Sonia Anderson,['Documentary']
Becca Gleason,"['Comedy', 'Drama']"
Glenn Miller,"['Horror', 'Science Fiction']"
Drake Doremus,['Science Fiction']
William Nigh,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Drama', 'Military and War', 'Suspense', 'Action']"
Sam Pillsbury,['Drama']
Dr. Rudolf Lammers,['Documentary']
Ida Lupino,"['Drama', 'Action', 'Suspense']"
George C. Wolfe,['Drama']
Daisy Aitkens,"['Comedy', 'Drama']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
R. John Hugh,"['Action', 'Military and War', 'Western']"
Mahi V Raghav,"['Drama', 'International']"
Mahi V Raghav,"['Drama', 'International']"
Allan Moyle,"['Fantasy', 'Science Fiction', 'Suspense']"
Boaz Davidson,"['Suspense', 'Drama']"
Jeffrey Schwarz,"['Documentary', 'LGBTQ']"
Tim Gray,"['Documentary', 'Special Interest']"
Baeble Music,"['Music Videos and Concerts', 'Comedy', 'Arts', 'Entertainment', 'and Culture']"
Thor Freudenthal,['Drama']
Cannis Holder,"['Kids', 'Animation']"
Cannis Holder,"['Kids', 'Animation']"
Buzz Kulik,"['Action', 'Drama']"
Robert Ginty,"['Drama', 'Suspense']"
John Elbert Ferrer,['Comedy']
Jenny Bowen,['Drama']
Oscar Micheaux,['Drama']
Alfred Santell,"['Action', 'Drama']"
Mack V. Wright,['Western']
Carroll Ballard,"['Action', 'Drama', 'Sports']"
Frederic Compain,"['Documentary', 'Special Interest']"
Jonathan Chase Cook,"['Documentary', 'Special Interest']"
Brandon Jones,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Brandon Jones,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Alan Scales,"['Documentary', 'International', 'Special Interest']"
Frank Hall Green,"['Action', 'Drama']"
Jason Bourque,"['Action', 'Drama', 'Documentary']"
Glenn Gordon Caron,"['Comedy', 'Science Fiction']"
Andrew V. McLaglen,"['Action', 'Suspense', 'Comedy', 'Western', 'Drama']"
Mike Slee,"['Documentary', 'Special Interest']"
Eugene Jarecki,['Documentary']
Kreeti Gogia,"['Arts', 'Entertainment', 'and Culture', 'Comedy']"
Caryl Ebenezer,"['Drama', 'Special Interest']"
 J. Mervyn Williams,"['Drama', 'Special Interest']"
Ian Lilley,['Documentary']
Bernard Carr,['Comedy']
John Fortenberry,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest', 'Young Adult Audience']"
Karen Shakhnazarov,"['Action', 'Science Fiction', 'Drama', 'Romance', 'Arts', 'Entertainment', 'and Culture', 'Comedy']"
Aaron J. Christopher,"['Documentary', 'Faith and Spirituality', 'Special Interest']"
Leonide Moguy,['Drama']
David Bolt,"['Action', 'Drama', 'Special Interest']"
William Hoareau,"['Animation', 'Kids', 'Comedy']"
William Hoareau,"['Animation', 'Kids', 'Comedy']"
William Hoareau,"['Animation', 'Kids', 'Comedy']"
William Hoareau,"['Animation', 'Kids', 'Comedy']"
Amma Asante,"['Drama', 'Young Adult Audience']"
William K. Howard,"['Drama', 'Military and War']"
Rocío de Prat Gay,['Drama']
Anand Tucker,"['Arthouse', 'Drama']"
Jamall Rashaud McMillan,['Drama']
Harold Trompetero,['Comedy']
Albert Herman,"['Suspense', 'Comedy', 'Action', 'Military and War']"
Jerry Reed,"['Action', 'Adventure', 'Comedy']"
Howard Bretherton,"['Military and War', 'Western', 'Action', 'Suspense', 'Drama']"
Robert Hill,"['Action', 'Comedy', 'Drama', 'Adventure']"
Kôji Masunari,['Anime']
Caroline Laskow,"['Documentary', 'Special Interest']"
 Ian Rosenberg,"['Documentary', 'Special Interest']"
Saleel Kulkarni,"['Comedy', 'International']"
John McKay,"['Drama', 'Romance', 'Comedy']"
Lynne Ramsay,"['Drama', 'Horror', 'Suspense']"
Melvin Van Peebles,['Comedy']
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Mark Knight,"['Fitness', 'Special Interest', 'Faith and Spirituality', 'Documentary', 'Music Videos and Concerts', 'Arthouse', 'Arts', 'Entertainment', 'and Culture']"
Moonbug Entertainment,"['Kids', 'Animation']"
María Ripoll,['Comedy']
Frank Capra,"['Documentary', 'Special Interest', 'Drama', 'Fantasy', 'Comedy']"
Siddharth Anand,"['Action', 'Drama', 'Suspense', 'International', 'Kids', 'Romance']"
Siddharth Anand,"['Action', 'Drama', 'Suspense', 'International', 'Kids', 'Romance']"
Tony Machi,['Special Interest']
Anna Mastro,"['Comedy', 'Drama']"
Charles Lamont,"['Action', 'Suspense', 'Military and War', 'Drama']"
Joseph Kane,"['Western', 'Action', 'Suspense', 'Military and War']"
Tom Wright,"['Action', 'Drama']"
Corey Horton,"['Comedy', 'Drama']"
Charles Garrad,"['Drama', 'Romance', 'Suspense']"
Jacob Rosenberg,"['Documentary', 'Sports']"
Ben Cookson,"['Action', 'Drama']"
Jason Wise,"['Arts', 'Entertainment', 'and Culture', 'Documentary']"
Minoru Yamada,['Science Fiction']
Bill Norton,"['Drama', 'Suspense']"
Graeme Campbell,"['Action', 'Science Fiction', 'Suspense', 'Drama']"
Eric D. Howell,"['Drama', 'Suspense']"
BabyFirst,['Kids']
Siva,"['Action', 'Drama', 'International', 'Suspense', 'Romance', 'Comedy']"
Lamont Johnson,['Drama']
Aashiq Abu,"['Drama', 'Science Fiction', 'Suspense']"
Dustin Lance Black,['Drama']
Jack Fisk,"['Drama', 'Romance']"
Srijit Mukherjee,"['International', 'Suspense']"
Daniel Roussel,"['Documentary', 'International', 'Special Interest']"
Saurabh Varma,"['International', 'Suspense']"
KS Ravindra(Bobby),"['Action', 'Comedy', 'Drama']"
Vivek Elangovan,"['International', 'Suspense']"
Cannis Holder,"['Kids', 'Animation']"
Pete Mortimer,"['Action', 'Documentary', 'Sports']"
 Nick Rosen,"['Action', 'Documentary', 'Sports']"
Marta Cunningham,['Documentary']
Mark Allen Michaels,"['Comedy', 'Horror']"
Pavel Navageethan,"['Action', 'Suspense']"
Mohana Krishna Indraganti,"['Action', 'Drama', 'Suspense']"
Mohana Krishna Indraganti,"['Action', 'Drama', 'Suspense']"
Mohana Krishna Indraganti,"['Action', 'Drama', 'Suspense']"
Josiah Burdick,['Drama']
Josh Perrault,['Music Videos and Concerts']
Josh Perrault,['Music Videos and Concerts']
Elliot Nugent,"['Arts', 'Entertainment', 'and Culture', 'Comedy']"
Tony Succar,"['Arts', 'Entertainment', 'and Culture']"
Amin Bakhshian,['Drama']
 Kyla Simone Bruce,['Drama']
William C. Thomas,"['Drama', 'Suspense']"
Cannis Holder,"['Kids', 'Animation']"
Stacey Lee,['Documentary']
Doug Dearth,['Sports']
Joseph Kane,"['Western', 'Action', 'Suspense', 'Military and War']"
Kevin Tostado,"['Documentary', 'Special Interest']"
Frank McDonald,"['Western', 'Action', 'Drama', 'Arts', 'Entertainment', 'and Culture', 'Special Interest']"
Justin Malone,['Documentary']
Joseph C. Hanwright,['Drama']
Dick Maas,['Horror']
Ernie Reyes Jr.,"['Action', 'Drama']"
Abhishek Pathak,"['Comedy', 'International']"
Bill Cote,['Special Interest']
Jim Nichols,"['Documentary', 'Science Fiction']"
Terje Toftenes,['Special Interest']
James Fox,"['Special Interest', 'Documentary']"
David Cherniack,['Special Interest']
Malcolm St. Clair,"['Action', 'Comedy']"
Cannis Holder,"['Kids', 'Animation']"
Keva Rosenfeld,"['Arthouse', 'Comedy', 'Drama']"
Dante J. Pugliese,"['Arts', 'Entertainment', 'and Culture', 'Documentary', 'Special Interest']"
AUSTIN NWAOLIE,"['Drama', 'Romance']"
Janaya N Black,['Drama']
Bill Bixby,"['Action', 'Comedy', 'Drama', 'Western']"
 Charles Braverman,"['Action', 'Comedy', 'Drama']"
 Jackie Cooper,"['Action', 'Comedy', 'Drama']"
Laugh Factory,"['Arts', 'Entertainment', 'and Culture', 'Comedy']"
Angus Benfield,['Drama']
Adán Medrano,"['Documentary', 'Special Interest']"
Herbert Ross,"['Drama', 'Comedy']"
Jim Gardner,"['Kids', 'Special Interest']"
Ben Stiller,"['Action', 'Comedy']"
Sylvain White,"['Drama', 'Suspense', 'Horror']"
Sanket Prakash Pavse,"['Comedy', 'International']"
Dan Curtis,"['Horror', 'Suspense', 'Drama']"
Greg Kwedar,"['Action', 'Suspense']"
Gabriel Silverman,"['Documentary', 'Special Interest']"
Antonio Negret,"['Action', 'Drama', 'Suspense']"
Karzan Kader,"['Action', 'Adventure']"
Jeremy Teicher,"['Comedy', 'Drama', 'Sports']"
 Alexi Pappas,"['Comedy', 'Drama', 'Sports']"
Craig Ross Jr.,"['Comedy', 'Romance', 'Drama', 'Suspense']"
Rehmat Rayatt,['Documentary']
 Leva Kwestany,['Documentary']
Carlos Sánchez,['Music Videos and Concerts']
Geordie Day,"['Documentary', 'Drama', 'Sports']"
Vikram Sirikonda,"['Drama', 'International', 'Romance']"
Maria Ripoll,"['Comedy', 'Drama', 'Romance']"
Bert I. Gordon,"['Horror', 'Suspense', 'Action', 'Kids', 'Science Fiction', 'Comedy']"
LeAnn Erickson,['Documentary']
Edward Sloman,['Drama']
Tone Bell,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Stuart Beattie,"['Action', 'Adventure']"
Manny Rodriguez,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Jo Kastner,"['Action', 'Drama', 'Kids']"
Jay Chapman,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest', 'Documentary']"
Rob Zombie,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest', 'Horror', 'Suspense']"
Jay Chapman,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest', 'Documentary']"
Tom Green,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest']"
Robert Stevenson,"['Drama', 'Romance']"
Roberto Ángel Salcedo,['Comedy']
Jay Chapman,"['Arts', 'Entertainment', 'and Culture', 'Comedy', 'Special Interest', 'Documentary']"
Manu Boyer,"['Drama', 'Romance']"
Ra Chezhiyan,"['Drama', 'International']"
Alfred Hitchcock,"['Drama', 'Suspense', 'Romance']"
